priority,segment,contact,company_project,evidence_link,scenario_hypothesis,audit_offer,first_message,source
P0,Agent product,@openclaw,OpenClaw,https://x.com/openclaw,"Agent for email/calendar/home automation/chat workflows; tool-heavy actions can burn context","Workflow automation token audit","ManXis audits where workflow agents repeat context, over-insert tool outputs, and retry failed actions.","following_registry"
P0,Compact practitioner,@berryxia,Berryxia.AI,https://x.com/berryxia,"Claude Code compact discussion; strong fit for compact threshold and memory strategy testing","Compact strategy collaboration","We are turning compact heuristics into measurable audit reports: tokens, cost, quality, and retries.","following_registry"
P0,Agentic engineering,@0xhardman,AskDolly / Agentic Engineering,https://x.com/0xhardman,"Claude Code and agentic engineering evangelist; likely has workflows and audience","Agentic engineering audit","We can analyze one agentic engineering task and produce a token waste map plus workflow patch.","following_registry"
P1,Agent memory,@AcboxLiu,memoh_ai,https://x.com/AcboxLiu,"Memory layer builder; context compression and retention are core product questions","Memory product audit","ManXis can test memory retention policies against token cost and task quality.","following_registry"
P1,AI agent app,@indigox,Hallid.ai,https://x.com/indigox,"AI product founder/investor/coder; potential design partner and advisor","Founder audit interview","We are looking for founders running costly agent workflows to validate a paid Local Token Audit.","following_registry"
P1,Self-evolving agents,@elliotchen100,EverMind,https://x.com/elliotchen100,"Memory for self-evolving agents; context growth and trace governance are strategic problems","Self-evolving agent cost audit","ManXis can audit self-evolving agent traces for memory growth, repeated context, and cost control.","following_registry"
P1,AI product creator,@rileybrown,Vibecode app,https://x.com/rileybrown,"Vibecode/app-builder audience overlaps with AI coding and app generation workflows","App-builder token audit","We are benchmarking app-building agent tasks: same output, fewer tokens, stable quality.","following_registry"
P1,Enterprise AI,@businessbarista,Tenex Labs / AI transformation,https://x.com/businessbarista,"AI engineering/transformation audience has internal workflow and budget owners","Enterprise AI cost governance intro","ManXis frames token savings as agent cost governance for internal AI teams.","following_registry"
P1,AI builder,@AvrilynLi,AI app company builder,https://x.com/AvrilynLi,"Building AI product; likely has customer workflows, GTM angle, and product cost concerns","Startup token audit","We are giving early AI startups a private audit on one expensive long-agent workflow.","following_registry"
P1,Automation practitioner,@onehopeA9,AI Agent practitioner,https://x.com/onehopeA9,"AI tools/Web3/automation workflow practitioner; can supply real multi-tool tasks","Automation workflow audit","We can map repeated context and tool-output bloat in one automation workflow.","following_registry"
P1,Agent community,@anorth_chen,CreaoAI community,https://x.com/anorth_chen,"Community lead at agent product; can help source users and feedback","Community benchmark challenge","We want to run a private Long Agent Cost Challenge with agent product users.","following_registry"
P0,Direct competitor,Company account,Compresr,https://compresr.ai,"Direct context-compression competitor; benchmark positioning, docs, gateway claims","Competitive teardown","Use report to sharpen ManXis differentiation: local audit, trace attribution, quality guardrails.","company_research"
P0,Direct competitor,Company account,The Token Company,https://www.ycombinator.com/companies/the-token-company,"Direct context-bloat competitor; useful for problem framing and buyer vocabulary","Competitive teardown","Study context bloat language and turn it into ManXis audit taxonomy.","company_research"
P0,LLM observability,Company account,Langfuse,https://langfuse.com,"Open-source tracing/eval platform; customers have traces usable for audit","Trace import integration","Build Langfuse export-to-token-audit workflow and target current Langfuse users.","company_research"
P0,Agent observability,Company account,LangSmith,https://www.langchain.com/langsmith,"Agent traces, evals, datasets, deployment workflow; ideal adjacent ecosystem","LangSmith trace audit","Offer a trace-level cost attribution report for LangChain-heavy teams.","company_research"
P0,AI eval,Company account,Braintrust,https://www.braintrust.dev,"Evals and experiment tracking; quality guardrail pattern for ManXis","Eval-compatible token audit","Package every savings claim with task-quality metrics and experiment report.","company_research"
P0,Coding agent platform,Company account,Cursor / Anysphere,https://cursor.com,"High-frequency coding-agent workflows with multi-file context and background agents","Coding-agent repo audit","Run one repo task before/after: tokens, cost, runtime, retries, tests.","company_research"
P1,AI app builder,Company account,Replit Agent,https://replit.com/agent,"Natural-language app building creates multi-step code generation, debugging, deployment loops","App-builder cost audit","Measure build-app tasks and show cost savings with comparable output quality.","company_research"
P1,AI software engineer,Company account,Cognition / Devin,https://devin.ai,"Enterprise software-engineering agent; high-end reference for long autonomous tasks","Enterprise agent governance audit","Use as enterprise positioning reference: cost, trace, privacy, auditability.","company_research"
P1,Workflow agent,Company account,Lindy,https://www.lindy.ai,"AI employee/workflow automation tasks use CRM, mail, calendar, tools, and long context","Business workflow audit","Audit customer-support or sales workflow traces for runtime cost and retry waste.","company_research"
P1,Agent framework,Company account,CrewAI,https://www.crewai.com,"Multi-agent workflow framework; users can provide repeatable agent traces","Multi-agent trace audit","Find repeated delegation, duplicated context, and tool-output waste in multi-agent workflows.","company_research"
P1,Agent framework,Company account,OpenHands,https://www.all-hands.dev,"Open-source coding agent; natural source of repo-task traces and benchmark users","Open-source benchmark","Run ManXis audit on open coding-agent tasks and publish anonymized results.","company_research"
P1,AI gateway,Company account,LiteLLM,https://www.litellm.ai,"Open-source proxy with budget/routing; ManXis can complement with task-level optimization","Proxy-compatible audit","Use LiteLLM logs as input and return trace-level waste diagnosis.","company_research"
P1,Model routing,Company account,OpenRouter,https://openrouter.ai,"Model routing and usage economics; relevant to model-tiering savings","Routing savings audit","Show when long-agent steps can use cheaper models while keeping quality.","company_research"
P1,AI workflow,Company account,Gumloop,https://www.gumloop.com,"Automation workflows likely include browser/search/data tasks with many tool calls","Workflow runtime audit","Offer a cost and context audit for high-volume Gumloop workflows.","company_research"
P1,Automation platform,Company account,n8n,https://n8n.io,"Workflow automation with AI nodes and agentic chains; cost grows with usage","AI workflow audit","Audit AI workflow traces and recommend prompt/tool-output reducers.","company_research"
P1,Automation platform,Company account,Zapier AI,https://zapier.com/ai,"AI automation across business apps; tool outputs and business context can expand quickly","Business automation audit","Identify repeated app context and tool-output bloat across multi-step workflows.","company_research"
P1,AI app builder,Company account,Bolt,https://bolt.new,"AI app-building tasks create code generation, install, debug, and retry loops","App-builder benchmark","Run same app prompt before/after and compare cost, runtime, and build success.","company_research"
P1,AI app builder,Company account,Lovable,https://lovable.dev,"AI software builder with long app-generation workflows and deployment loops","App-builder token audit","Benchmark one app-building trace and report token waste sources.","company_research"
P1,AI UI builder,Company account,Vercel v0,https://v0.dev,"UI/app generation and iterative prompt workflows create repeated context","UI generation audit","Audit repeated design/code context and reduce reportable token footprint.","company_research"
P1,AI agent platform,Company account,Dify,https://dify.ai,"Agent/workflow app builder; teams can provide workflow logs and prompt chains","Workflow app audit","Convert Dify workflow traces into token/cost savings report.","company_research"
P1,AI coding,Company account,GitHub Copilot,https://github.com/features/copilot,"Coding-agent and PR workflows; enterprise teams care about privacy and productivity","Enterprise coding-agent audit","Use GitHub workflow traces to identify repeated repo context and failed branch cost.","company_research"
P1,AI coding,Company account,Sourcegraph Cody,https://sourcegraph.com/cody,"Codebase-aware AI assistant; repo context retrieval and code search are central","Code context audit","Audit retrieved code context, repeated snippets, and output quality.","company_research"
P1,LLM app platform,Company account,Vellum AI,https://www.vellum.ai,"Prompt/eval/workflow platform; users understand experiments and cost tradeoffs","Experiment-backed token audit","Package ManXis results as baseline vs variant experiments.","company_research"
